Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
    -1.119534,    0.05849781, ,     -1.206742,    0.05581477, ,      -1.44209,    0.03111157, ,     -1.533029,    0.02447343, ,     -1.579493,    0.02040786, ,     -1.605331,    0.01794918, ,     -1.620215,    0.01649178, ,      -1.62943,     0.0155824, ,     -1.636113,    0.01492053, ,      -1.64127,    0.01440957, , 
    -1.139224,    0.05295594, ,     -1.212512,    0.05228805, ,     -1.429988,    0.03069059, ,     -1.515696,    0.02438008, ,     -1.558193,    0.02052702, ,     -1.585096,    0.01790445, ,     -1.600928,    0.01631475, ,     -1.610571,    0.01533739, ,     -1.617134,    0.01467315, ,     -1.622174,    0.01416334, , 
     -1.15073,    0.04913839, ,     -1.212716,    0.04977408, ,     -1.417793,    0.03030871, ,     -1.498758,    0.02422269, ,     -1.536402,    0.02069745, ,     -1.561881,    0.01816824, ,      -1.58065,    0.01623418, ,     -1.591174,    0.01513847, ,     -1.597962,    0.01443326, ,     -1.602899,    0.01392353, , 
     -1.15837,       0.04615, ,      -1.21024,    0.04775248, ,     -1.405557,    0.02996458, ,     -1.481261,    0.02407827, ,     -1.517331,    0.02058922, ,      -1.54131,    0.01815288, ,     -1.558368,    0.01636897, ,     -1.569921,    0.01514014, ,     -1.577714,    0.01430615, ,     -1.583158,    0.01372565, , 
    -1.163741,    0.04368702, ,     -1.205914,    0.04606682, ,     -1.393332,    0.02965665, ,      -1.46344,    0.02394413, ,      -1.49828,    0.02046809, ,     -1.521106,    0.01809176, ,     -1.537608,    0.01633046, ,     -1.549341,    0.01505727, ,     -1.557467,    0.01416852, ,     -1.563159,    0.01354677, , 
    -1.167642,    0.04159703, ,     -1.200147,    0.04463897, ,     -1.381098,    0.02938596, ,     -1.445372,    0.02381943, ,     -1.479037,    0.02035721, ,     -1.501365,    0.01797091, ,     -1.517025,    0.01626517, ,     -1.528605,    0.01498486, ,     -1.536914,    0.01405762, ,     -1.542872,    0.01339191, , 
     -1.17046,    0.03979466, ,     -1.193338,    0.04341497, ,     -1.368455,     0.0291628, ,     -1.427074,    0.02370423, ,      -1.45962,     0.0202555, ,     -1.481491,    0.01785553, ,     -1.496887,    0.01614006, ,      -1.50796,    0.01489352, ,     -1.516227,    0.01395423, ,     -1.522305,    0.01326135, , 
    -1.172478,    0.03821747, ,      -1.18541,    0.04237682, ,     -1.353822,    0.02900035, ,     -1.408533,    0.02360159, ,     -1.440038,    0.02016286, ,     -1.461455,    0.01774999, ,     -1.476704,    0.01601086, ,     -1.487658,    0.01475221, ,     -1.495608,    0.01383375, ,     -1.501639,    0.01313391, , 
    -1.174086,    0.03679479, ,     -1.176601,      0.041506, ,     -1.338234,    0.02882652, ,     -1.389256,    0.02356994, ,     -1.420261,    0.02008425, ,     -1.441242,    0.01765731, ,     -1.456355,    0.01589244, ,     -1.467312,    0.01460633, ,     -1.475229,    0.01367363, ,     -1.481039,    0.01298861, , 
    -1.173417,    0.03547247, ,     -1.166613,    0.04080828, ,     -1.321922,    0.02866976, ,     -1.370471,    0.02347086, ,     -1.399786,     0.0200835, ,      -1.42076,    0.01759011, ,     -1.435803,    0.01579051, ,     -1.446789,    0.01447321, ,     -1.454768,    0.01351399, ,     -1.460577,    0.01281547, , 
    -1.168793,    0.03409823, ,     -1.155527,    0.04027893, ,     -1.304975,    0.02853025, ,     -1.351539,    0.02337637, ,     -1.379905,    0.02000246, ,     -1.399801,     0.0175775, ,     -1.414561,    0.01576979, ,     -1.425593,    0.01441815, ,     -1.434067,    0.01337572, ,     -1.439973,    0.01265089, , 
    -1.162458,    0.03271078, ,     -1.143638,    0.03987026, ,     -1.287651,    0.02840839, ,     -1.332466,    0.02328672, ,      -1.35994,    0.01992341, ,     -1.379332,    0.01749606, ,     -1.393857,    0.01567334, ,     -1.404854,    0.01429629, ,     -1.413033,    0.01327264, ,     -1.419131,    0.01250854, , 
     -1.15479,    0.03132066, ,     -1.242779,    0.02676394, ,     -1.269971,    0.02830566, ,     -1.313251,     0.0232027, ,     -1.339898,     0.0198458, ,     -1.358794,    0.01741612, ,      -1.37307,    0.01558014, ,      -1.38401,    0.01417987, ,     -1.392231,    0.01312997, ,     -1.398281,    0.01235802, , 
    -1.145881,    0.02993805, ,     -1.240878,    0.02442113, ,     -1.251894,    0.02823102, ,     -1.293892,    0.02312573, ,     -1.319783,    0.01976924, ,     -1.338199,    0.01733641, ,     -1.352216,    0.01548853, ,     -1.363078,    0.01406711, ,     -1.371337,    0.01299079, ,     -1.377434,    0.01219749, , 
