Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
          -14,     -1.119534, ,         -14.8,     -1.206742, ,           -15,      -1.44209, ,           -15,     -1.533029, ,           -15,     -1.579493, ,           -15,     -1.605331, ,           -15,     -1.620215, ,           -15,      -1.62943, ,           -15,     -1.636113, ,           -15,      -1.64127, , 
        -13.8,     -1.139224, ,         -14.6,     -1.212512, ,         -14.8,     -1.429988, ,         -14.8,     -1.515696, ,         -14.8,     -1.558193, ,         -14.8,     -1.585096, ,         -14.8,     -1.600928, ,         -14.8,     -1.610571, ,         -14.8,     -1.617134, ,         -14.8,     -1.622174, , 
        -13.6,      -1.15073, ,         -14.4,     -1.212716, ,         -14.6,     -1.417793, ,         -14.6,     -1.498758, ,         -14.6,     -1.536402, ,         -14.6,     -1.561881, ,         -14.6,      -1.58065, ,         -14.6,     -1.591174, ,         -14.6,     -1.597962, ,         -14.6,     -1.602899, , 
        -13.4,      -1.15837, ,         -14.2,      -1.21024, ,         -14.4,     -1.405557, ,         -14.4,     -1.481261, ,         -14.4,     -1.517331, ,         -14.4,      -1.54131, ,         -14.4,     -1.558368, ,         -14.4,     -1.569921, ,         -14.4,     -1.577714, ,         -14.4,     -1.583158, , 
        -13.2,     -1.163741, ,           -14,     -1.205914, ,         -14.2,     -1.393332, ,         -14.2,      -1.46344, ,         -14.2,      -1.49828, ,         -14.2,     -1.521106, ,         -14.2,     -1.537608, ,         -14.2,     -1.549341, ,         -14.2,     -1.557467, ,         -14.2,     -1.563159, , 
          -13,     -1.167642, ,         -13.8,     -1.200147, ,           -14,     -1.381098, ,           -14,     -1.445372, ,           -14,     -1.479037, ,           -14,     -1.501365, ,           -14,     -1.517025, ,           -14,     -1.528605, ,           -14,     -1.536914, ,           -14,     -1.542872, , 
        -12.8,      -1.17046, ,         -13.6,     -1.193338, ,         -13.8,     -1.368455, ,         -13.8,     -1.427074, ,         -13.8,      -1.45962, ,         -13.8,     -1.481491, ,         -13.8,     -1.496887, ,         -13.8,      -1.50796, ,         -13.8,     -1.516227, ,         -13.8,     -1.522305, , 
        -12.6,     -1.172478, ,         -13.4,      -1.18541, ,         -13.6,     -1.353822, ,         -13.6,     -1.408533, ,         -13.6,     -1.440038, ,         -13.6,     -1.461455, ,         -13.6,     -1.476704, ,         -13.6,     -1.487658, ,         -13.6,     -1.495608, ,         -13.6,     -1.501639, , 
        -12.4,     -1.174086, ,         -13.2,     -1.176601, ,         -13.4,     -1.338234, ,         -13.4,     -1.389256, ,         -13.4,     -1.420261, ,         -13.4,     -1.441242, ,         -13.4,     -1.456355, ,         -13.4,     -1.467312, ,         -13.4,     -1.475229, ,         -13.4,     -1.481039, , 
        -12.2,     -1.173417, ,           -13,     -1.166613, ,         -13.2,     -1.321922, ,         -13.2,     -1.370471, ,         -13.2,     -1.399786, ,         -13.2,      -1.42076, ,         -13.2,     -1.435803, ,         -13.2,     -1.446789, ,         -13.2,     -1.454768, ,         -13.2,     -1.460577, , 
          -12,     -1.168793, ,         -12.8,     -1.155527, ,           -13,     -1.304975, ,           -13,     -1.351539, ,           -13,     -1.379905, ,           -13,     -1.399801, ,           -13,     -1.414561, ,           -13,     -1.425593, ,           -13,     -1.434067, ,           -13,     -1.439973, , 
        -11.8,     -1.162458, ,         -12.6,     -1.143638, ,         -12.8,     -1.287651, ,         -12.8,     -1.332466, ,         -12.8,      -1.35994, ,         -12.8,     -1.379332, ,         -12.8,     -1.393857, ,         -12.8,     -1.404854, ,         -12.8,     -1.413033, ,         -12.8,     -1.419131, , 
        -11.6,      -1.15479, ,         -12.2,     -1.242779, ,         -12.6,     -1.269971, ,         -12.6,     -1.313251, ,         -12.6,     -1.339898, ,         -12.6,     -1.358794, ,         -12.6,      -1.37307, ,         -12.6,      -1.38401, ,         -12.6,     -1.392231, ,         -12.6,     -1.398281, , 
        -11.4,     -1.145881, ,           -12,     -1.240878, ,         -12.4,     -1.251894, ,         -12.4,     -1.293892, ,         -12.4,     -1.319783, ,         -12.4,     -1.338199, ,         -12.4,     -1.352216, ,         -12.4,     -1.363078, ,         -12.4,     -1.371337, ,         -12.4,     -1.377434, , 
        -11.2,       -1.1358, ,         -11.8,     -1.231455, ,         -12.2,     -1.233379, ,         -12.2,     -1.274382, ,         -12.2,     -1.299602, ,         -12.2,      -1.31756, ,         -12.2,     -1.331311, ,         -12.2,     -1.342076, ,         -12.2,     -1.350361, ,         -12.2,     -1.356506, , 
          -11,     -1.124612, ,         -11.6,     -1.218955, ,           -12,     -1.214499, ,           -12,     -1.254731, ,           -12,     -1.279363, ,           -12,     -1.296891, ,           -12,     -1.310372, ,           -12,     -1.321025, ,           -12,     -1.329316, ,           -12,     -1.335508, , 
        -10.8,     -1.112386, ,         -11.4,     -1.205066, ,         -11.8,     -1.195515, ,         -11.8,     -1.235036, ,         -11.8,     -1.259103, ,         -11.8,     -1.276221, ,         -11.8,      -1.28943, ,         -11.8,     -1.299952, ,         -11.8,     -1.308228, ,         -11.8,     -1.314457, , 
        -10.6,     -1.099201, ,         -11.2,     -1.190028, ,         -11.6,     -1.173894, ,         -11.6,     -1.216029, ,         -11.6,     -1.239149, ,         -11.6,     -1.255657, ,         -11.6,     -1.268552, ,         -11.6,     -1.278909, ,         -11.6,     -1.287137, ,         -11.6,     -1.293378, , 
        -10.4,      -1.08514, ,           -11,     -1.174143, ,         -11.2,      -1.18227, ,         -11.4,     -1.195184, ,         -11.4,     -1.219524, ,         -11.4,     -1.236212, ,         -11.4,     -1.248988, ,         -11.4,     -1.258098, ,         -11.4,     -1.266156, ,         -11.4,     -1.272335, , 
        -10.2,     -1.070293, ,         -10.8,     -1.157597, ,           -11,     -1.172047, ,         -11.2,     -1.173232, ,         -11.2,     -1.198644, ,         -11.2,     -1.215301, ,         -11.2,     -1.227932, ,         -11.2,     -1.238016, ,         -11.2,     -1.245983, ,         -11.2,      -1.25193, , 
