Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
    -1.279048,    0.04458404, ,     -1.434713,    0.02897992, ,      -1.44323,    0.02837198, ,     -1.444641,    0.02836851, ,     -1.358406,    0.01897374, ,     -1.118338,    0.01160676, ,     -1.296654,    0.01420038, ,     -1.412269,    0.01586143, ,     -1.444578,    0.02870689, , 
    -1.286909,    0.04166378, ,     -1.430967,    0.02771534, ,     -1.439681,     0.0271368, ,     -1.441229,    0.02714815, ,      -1.34297,    0.01841517, ,     -1.063085,    0.01032274, ,     -1.280285,    0.01354292, ,     -1.400811,    0.01481463, ,     -1.445231,    0.02725983, , 
    -1.292826,    0.03907029, ,     -1.426402,    0.02656013, ,     -1.435433,    0.02601385, ,     -1.437156,    0.02604141, ,     -1.327018,    0.01787596, ,     -1.042422,    0.01009461, ,     -1.262835,    0.01298717, ,     -1.386496,    0.01402384, ,     -1.444549,    0.02600422, , 
    -1.296954,    0.03675664, ,     -1.421139,    0.02550537, ,     -1.430463,    0.02498858, ,     -1.432412,    0.02503384, ,     -1.310604,    0.01735475, ,     -1.021369,     0.0098913, ,     -1.242167,    0.01279825, ,     -1.370505,    0.01337829, ,     -1.442887,    0.02491314, , 
    -1.299404,    0.03468372, ,     -1.415272,    0.02454126, ,     -1.424974,    0.02405328, ,      -1.42718,    0.02411643, ,      -1.29377,    0.01685069, ,    -0.9785101,   0.009539745, ,     -1.220947,    0.01261625, ,     -1.351345,    0.01305831, ,     -1.440814,    0.02396726, , 
    -1.300369,    0.03282416, ,     -1.408853,     0.0236576, ,     -1.419173,    0.02320025, ,     -1.421759,    0.02328264, ,     -1.276537,    0.01636462, ,    -0.9567937,   0.009381148, ,     -1.197239,    0.01237145, ,     -1.331086,    0.01284867, ,     -1.436812,     0.0231248, , 
    -1.299881,    0.03115586, ,     -1.402129,    0.02284842, ,     -1.413066,    0.02242108, ,     -1.415835,    0.02252245, ,     -1.258752,    0.01591782, ,    -0.9349355,   0.009232687, ,     -1.184626,    0.01146058, ,     -1.310692,    0.01264358, ,     -1.428662,     0.0222992, , 
    -1.297117,    0.02974678, ,     -1.394938,    0.02210854, ,      -1.40475,    0.02167914, ,      -1.40675,     0.0217688, ,     -1.240972,    0.01544752, ,    -0.9129398,    0.00908882, ,     -1.168443,    0.01101903, ,     -1.290615,    0.01239002, ,     -1.420151,    0.02133285, , 
    -1.292639,    0.02853565, ,     -1.385187,    0.02141003, ,     -1.393915,    0.02097233, ,      -1.39562,     0.0210669, ,      -1.22292,    0.01498798, ,    -0.8908401,   0.008952048, ,     -1.149861,    0.01070112, ,     -1.272302,    0.01191009, ,     -1.407416,    0.02065659, , 
    -1.287129,    0.02744716, ,     -1.373616,    0.02073407, ,     -1.381672,    0.02028898, ,     -1.383055,    0.02038581, ,     -1.205132,    0.01447627, ,    -0.8695106,   0.008673274, ,     -1.130127,    0.01044455, ,      -1.24977,    0.01153945, ,     -1.393741,    0.02001783, , 
    -1.281097,    0.02643006, ,     -1.360791,    0.02008204, ,     -1.368379,    0.01963191, ,     -1.369588,    0.01973137, ,     -1.188024,    0.01386161, ,    -0.8473905,   0.008526243, ,     -1.109722,     0.0102231, ,     -1.231823,    0.01111509, ,     -1.379279,    0.01941064, , 
     -1.27508,    0.02544138, ,      -1.34715,    0.01944692, ,     -1.354322,    0.01900264, ,     -1.355387,    0.01910272, ,     -1.170022,     0.0133368, ,    -0.8251833,   0.008388961, ,     -1.088887,    0.01002449, ,     -1.214844,     0.0108284, ,     -1.364146,     0.0188304, , 
    -1.269326,    0.02443776, ,       -1.3328,    0.01883768, ,     -1.339589,    0.01839951, ,      -1.34054,    0.01849809, ,     -1.150848,    0.01293967, ,    -0.8028615,   0.008258191, ,     -1.067749,   0.009844416, ,        -1.196,    0.01058899, ,     -1.348431,    0.01827358, , 
    -1.261159,    0.02345994, ,     -1.317737,    0.01826063, ,     -1.324254,    0.01782109, ,     -1.325117,    0.01791593, ,      -1.03445,    0.01094492, ,    -0.7808657,   0.008076545, ,     -1.046387,   0.009677088, ,      -1.17611,    0.01038015, ,     -1.332204,    0.01773755, , 
    -1.251013,    0.02253196, ,      -1.30201,    0.01771674, ,     -1.308445,    0.01725904, ,      -1.30918,    0.01735493, ,     -1.015387,    0.01053176, ,    -0.7586217,   0.007919567, ,     -1.003138,   0.009370146, ,     -1.155605,    0.01018955, ,     -1.315518,    0.01722058, , 
