Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
          -15,     -1.279048, ,           -15,     -1.434713, ,           -15,      -1.44323, ,           -15,     -1.444641, ,         -12.8,     -1.358406, ,           -10,     -1.118338, ,         -11.8,     -1.296654, ,           -13,     -1.412269, ,           -15,     -1.444578, , 
        -14.8,     -1.286909, ,         -14.8,     -1.430967, ,         -14.8,     -1.439681, ,         -14.8,     -1.441229, ,         -12.6,      -1.34297, ,          -9.4,     -1.063085, ,         -11.6,     -1.280285, ,         -12.8,     -1.400811, ,         -14.8,     -1.445231, , 
        -14.6,     -1.292826, ,         -14.6,     -1.426402, ,         -14.6,     -1.435433, ,         -14.6,     -1.437156, ,         -12.4,     -1.327018, ,          -9.2,     -1.042422, ,         -11.4,     -1.262835, ,         -12.6,     -1.386496, ,         -14.6,     -1.444549, , 
        -14.4,     -1.296954, ,         -14.4,     -1.421139, ,         -14.4,     -1.430463, ,         -14.4,     -1.432412, ,         -12.2,     -1.310604, ,            -9,     -1.021369, ,         -11.2,     -1.242168, ,         -12.4,     -1.370505, ,         -14.4,     -1.442887, , 
        -14.2,     -1.299404, ,         -14.2,     -1.415272, ,         -14.2,     -1.424974, ,         -14.2,      -1.42718, ,           -12,      -1.29377, ,          -8.6,    -0.9785102, ,           -11,     -1.220947, ,         -12.2,     -1.351345, ,         -14.2,     -1.440814, , 
          -14,     -1.300369, ,           -14,     -1.408853, ,           -14,     -1.419173, ,           -14,      -1.42176, ,         -11.8,     -1.276537, ,          -8.4,    -0.9567937, ,         -10.8,     -1.197239, ,           -12,     -1.331086, ,           -14,     -1.436812, , 
        -13.8,     -1.299881, ,         -13.8,     -1.402129, ,         -13.8,     -1.413066, ,         -13.8,     -1.415835, ,         -11.6,     -1.258752, ,          -8.2,    -0.9349355, ,         -10.6,     -1.184625, ,         -11.8,     -1.310692, ,         -13.8,     -1.428662, , 
        -13.6,     -1.297117, ,         -13.6,     -1.394938, ,         -13.6,     -1.404749, ,         -13.6,      -1.40675, ,         -11.4,     -1.240972, ,            -8,    -0.9129399, ,         -10.4,     -1.168443, ,         -11.6,     -1.290615, ,         -13.6,     -1.420151, , 
        -13.4,     -1.292639, ,         -13.4,     -1.385187, ,         -13.4,     -1.393915, ,         -13.4,      -1.39562, ,         -11.2,      -1.22292, ,          -7.8,    -0.8908401, ,         -10.2,     -1.149861, ,         -11.4,     -1.272302, ,         -13.4,     -1.407416, , 
        -13.2,     -1.287129, ,         -13.2,     -1.373616, ,         -13.2,     -1.381672, ,         -13.2,     -1.383055, ,           -11,     -1.205132, ,          -7.6,    -0.8695106, ,           -10,     -1.130127, ,         -11.2,      -1.24977, ,         -13.2,     -1.393741, , 
          -13,     -1.281097, ,           -13,     -1.360791, ,           -13,     -1.368379, ,           -13,     -1.369589, ,         -10.8,     -1.188024, ,          -7.4,    -0.8473905, ,          -9.8,     -1.109722, ,           -11,     -1.231823, ,           -13,     -1.379279, , 
        -12.8,      -1.27508, ,         -12.8,      -1.34715, ,         -12.8,     -1.354322, ,         -12.8,     -1.355387, ,         -10.6,     -1.170022, ,          -7.2,    -0.8251833, ,          -9.6,     -1.088887, ,         -10.8,     -1.214844, ,         -12.8,     -1.364146, , 
        -12.6,     -1.269326, ,         -12.6,       -1.3328, ,         -12.6,     -1.339589, ,         -12.6,      -1.34054, ,         -10.4,     -1.150848, ,            -7,    -0.8028615, ,          -9.4,     -1.067749, ,         -10.6,        -1.196, ,         -12.6,     -1.348431, , 
