Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
          -15,     -1.190309, ,           -15,     -1.275898, ,           -15,      -1.32009, ,           -15,     -1.343344, ,           -15,     -1.363192, ,         -14.8,     -1.358716, ,           -15,     -1.382183, ,           -15,     -1.386088, ,           -15,     -1.389563, ,         -14.8,     -1.372034, , 
        -14.8,     -1.179175, ,         -14.8,     -1.263944, ,         -14.8,       -1.3103, ,         -14.8,     -1.336521, ,         -14.8,     -1.354761, ,         -14.6,     -1.339576, ,         -14.8,     -1.363022, ,         -14.8,     -1.366748, ,         -14.8,     -1.369837, ,         -14.6,      -1.35405, , 
        -14.6,     -1.167601, ,         -14.6,     -1.252112, ,         -14.6,     -1.301669, ,         -14.6,     -1.332982, ,         -14.6,     -1.336682, ,         -14.4,     -1.320459, ,         -14.6,     -1.343442, ,         -14.6,     -1.346888, ,         -14.6,     -1.349364, ,         -14.4,     -1.337553, , 
        -14.4,     -1.155912, ,         -14.4,      -1.24267, ,         -14.4,     -1.294434, ,         -14.4,     -1.317463, ,         -14.4,     -1.318255, ,         -14.2,     -1.301113, ,         -14.4,     -1.323491, ,         -14.4,      -1.32629, ,         -14.4,      -1.33064, ,         -14.2,     -1.321799, , 
        -14.2,     -1.143937, ,         -14.2,     -1.236228, ,         -14.2,     -1.290233, ,         -14.2,     -1.298545, ,         -14.2,     -1.299785, ,           -14,     -1.281237, ,         -14.2,     -1.303096, ,         -14.2,     -1.306302, ,         -14.2,     -1.313829, ,           -14,     -1.307388, , 
          -14,        -1.132, ,           -14,     -1.230221, ,           -14,     -1.275334, ,           -14,     -1.279094, ,           -14,     -1.280939, ,         -13.8,     -1.261077, ,           -14,     -1.282316, ,           -14,      -1.28937, ,           -14,     -1.297873, ,         -13.8,     -1.292187, , 
        -13.8,     -1.120167, ,         -13.8,      -1.22562, ,         -13.8,      -1.25481, ,         -13.8,      -1.25894, ,         -13.8,      -1.26096, ,         -13.6,     -1.243723, ,         -13.8,     -1.265756, ,         -13.8,     -1.273391, ,         -13.6,     -1.267987, ,         -13.6,     -1.273603, , 
        -13.6,     -1.108604, ,         -13.6,     -1.223544, ,         -13.6,      -1.23394, ,         -13.6,     -1.238106, ,         -13.6,     -1.240073, ,         -13.4,     -1.227718, ,         -13.6,     -1.249845, ,         -13.6,     -1.259402, ,         -13.4,     -1.249773, ,         -13.4,     -1.254374, , 
        -13.4,     -1.102189, ,         -13.4,     -1.214797, ,         -13.4,     -1.213035, ,         -13.4,     -1.216398, ,         -13.4,     -1.218328, ,         -13.2,     -1.213091, ,         -13.4,     -1.236763, ,         -13.4,     -1.244172, ,         -13.2,     -1.230705, ,         -13.2,     -1.234367, , 
        -13.2,     -1.100463, ,         -13.2,     -1.194055, ,         -13.2,     -1.192962, ,         -13.2,     -1.194222, ,         -13.2,     -1.201263, ,           -13,     -1.196123, ,         -13.2,     -1.221299, ,         -13.2,      -1.22644, ,           -13,     -1.210856, ,           -13,     -1.213871, , 
          -13,     -1.097226, ,           -13,     -1.172745, ,           -13,     -1.172184, ,           -13,     -1.171633, ,           -13,     -1.183249, ,         -12.8,     -1.177312, ,           -13,     -1.203396, ,           -13,     -1.207462, ,         -12.8,     -1.190814, ,         -12.8,     -1.192934, , 
        -12.8,        -1.094, ,         -12.8,     -1.150943, ,         -12.8,     -1.150544, ,         -12.8,     -1.153304, ,         -12.8,     -1.167015, ,         -12.6,     -1.157713, ,         -12.8,      -1.18364, ,         -12.8,     -1.187883, ,         -12.6,     -1.169819, ,         -12.4,     -1.149244, , 
